Referência;Grupo;Marca;Coleção;Cor (Pantone);Descrição Cor;Tam.;Qtd.
REST0030;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;12-0812;Alabaster TC;M;2
REST0038.1;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;12-0000;White Swan TC;P;2
REST0038.2;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;12-0000;White Swan TC;P;4
REST0041;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2023 Terceira Entrada;14-1108;Wood Ash TC;P;2
REST0041;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2023 Terceira Entrada;14-1108;Wood Ash TC;G;3
REST0041;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2023 Terceira Entrada;14-1108;Wood Ash TC;M;3
REST0041;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2023 Terceira Entrada;14-1108;Wood Ash TC;GG;2
REST0052;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2023 Segunda Entrada;11-0602;Snow White TC;G;2
REST0060;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Primeira Entrada;19-0000;Raven TC;GG;1
REST0060;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Primeira Entrada;19-0000;Raven TC;M;1
REST0060;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Primeira Entrada;11-0601;Bright White TC;GG;1
REST0077;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Primeira Entrada;18-1662;Flame Scarlet TC;P;1
REST0079;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Primeira Entrada;18-0625;Martini Olive;P;1
REST0086;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Primeira Entrada;19-0000;Raven TC;G;4
REST0086;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Primeira Entrada;19-0000;Raven TC;M;5
REST0086;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Primeira Entrada;19-0000;Raven TC;P;4
REST0086;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Primeira Entrada;11-0602;Snow White TC;M;2
REST0087;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Primeira Entrada;19-0000;Raven TC;M;2
REST0093;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Primeira Entrada;15-2217;Aurora Pink TC;PP;1
REST0095.1;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Primeira Entrada;19-0000;Raven TC;PP;1
REST0098;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Primeira Entrada;19-0000;Raven TC;P;3
REST0098;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Primeira Entrada;11-0601;Bright White TC;G;2
REST0098;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Primeira Entrada;11-0601;Bright White TC;P;3
REST0098;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Primeira Entrada;11-0601;Bright White TC;PP;4
REST0098;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Primeira Entrada;19-0000;Raven TC;PP;5
REST0098;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Primeira Entrada;11-0601;Bright White TC;M;7
REST0098;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Primeira Entrada;19-0000;Raven TC;M;3
REST0098;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Primeira Entrada;19-0000;Raven TC;G;1
REST0099.1;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;19-0000;Raven TC;PP;1
REST0099.1;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;19-0000;Raven TC;P;1
REST0099.2;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;19-0000;Raven TC;P;1
REST0099.2;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;19-0000;Raven TC;PP;1
REST0105;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;12-0000;White Swan TC;P;1
REST0107;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2023 Terceira Entrada;19-5914;Jungle Green TC;GG;1
REST0109.1;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Terceira Entrada;16-1546;Living Coral TC;PP;1
REST0109.1;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Terceira Entrada;16-1546;Living Coral TC;P;3
REST0109.1;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Terceira Entrada;16-1546;Living Coral TC;M;4
REST0114;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;14-1127;Desert Mist TC;G;1
REST0114;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;14-1127;Desert Mist TC;GG;2
REST0119;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;19-0000;Raven TC;P;1
REST0119;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;13-1520;Rose Quartz;M;1
REST0122;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;18-1763;High Risk Red TC;PP;1
REST0124;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;18-1763;High Risk Red TC;P;2
REST0124;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;18-1763;High Risk Red TC;GG;2
REST0124;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;18-1763;High Risk Red TC;M;3
REST0124;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;16-6339;Vibrant Green TC;P;2
REST0126.2;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;13-1520;Rose Quartz;GG;1
REST0126.2;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;14-4318;Sky Blue TC;PP;1
REST0126.2;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;13-1520;Rose Quartz;PP;1
REST0126.2;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;14-4318;Sky Blue TC;P;2
REST0129.1;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;19-0000;Raven TC;M;1
REST0129.2;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;19-0000;Raven TC;M;2
REST0135;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;19-0000;Raven TC;P;1
REST0135;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;11-0602;Snow White TC;M;1
REST0135;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;19-0000;Raven TC;G;1
REST0137;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;12-0000;White Swan TC;P;1
REST0138;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;14-4620;Island Paradise;P;1
REST0138;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;14-4620;Island Paradise;M;4
REST0140;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;RAVEN;19-0000 BRIGHT HEARTS V1;M;1
REST0142.1;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;16-1546;Living Coral TC;M;1
REST0142.2;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;16-1546;Living Coral TC;P;1
REST0142.2;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;16-1546;Living Coral TC;G;1
REST0142.2;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;16-1546;Living Coral TC;M;3
REST0145.1;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;15-1263;Autumn Glory TC;M;1
REST0145.1;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;15-1263;Autumn Glory TC;G;1
REST0145.2;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;11-0602;Snow White TC;PP;3
REST0150.1;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;19-0000;Raven TC;GG;1
REST0150.1;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;19-0000;Raven TC;M;1
REST0150.1;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;19-0000;Raven TC;P;3
REST0151.1;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2023 Primeira Entrada;19-0000;Raven TC;GG;1
REST0151.1;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2023 Primeira Entrada;16-1324;Lark TC;G;2
REST0151.2;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Primeira Entrada;12-0917;Bleached Apricot TC;P;2
REST0151.2;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Primeira Entrada;12-0917;Bleached Apricot TC;GG;1
REST0151.2;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Primeira Entrada;12-0917;Bleached Apricot TC;PP;1
REST0156.1;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;15-2213;Bonbon;GG;1
REST0158;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;19-0000;Raven TC;M;2
REST0158;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;19-0000;Raven TC;G;1
REST0158;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;19-0000;Raven TC;P;2
REST0159;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;19-3810;Eclipse TC;P;1
REST0166.2;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;11-0602;Snow White TC;PP;2
REST0177;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;14-1159;Zinnia TC;M;1
REST0177;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;14-1159;Zinnia TC;P;2
REST0180.1;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;17-1456;Tigerlily TC;M;1
REST0180.1;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;19-0000;Raven TC;PP;1
REST0180.1;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;17-1456;Tigerlily TC;P;1
REST0183.1;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;16-1422;Cork TC;G;1
REST0185.2;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;19-1664;True Red TC;PP;1
REST0185.2;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;19-1664;True Red TC;GG;1
REST0192;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;20-0038;20-0038 GILLTERATTI;GG;1
REST0192;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;20-0038;20-0038 GILLTERATTI;G;2
REST0195;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;19-0000;Raven TC;M;1
REST0200;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;16-1324;Lark TC;GG;1
REST0201.1;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;16-1546;Living Coral TC;M;1
REST0201.1;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;16-1546;Living Coral TC;G;1
REST0201.1;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;16-1546;Living Coral TC;P;1
REST0206.2;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;11-0610;Silence;GG;1
REST0207.1;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2023 Terceira Entrada;17-4030;Silver Lake Blue TC;M;1
REST0207.2;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;17-4030;Silver Lake Blue TC;GG;1
REST0207.2;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;17-4030;Silver Lake Blue TC;P;3
REST0207.2;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;18-1664;Fiery Red TC;P;2
REST0209.1;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;12-0000;White Swan TC;PP;1
REST0209.1;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;12-0000;White Swan TC;P;1
REST0209.2;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;12-0000;White Swan TC;P;1
REST0209.2;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;12-0000;White Swan TC;GG;1
REST0209.2;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;12-0000;White Swan TC;PP;1
REST0214;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;19-0000;Raven TC;P;1
REST0221.1;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;19-1664;True Red TC;PP;1
REST0221.2;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;19-1664;True Red TC;M;2
REST0221.2;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;19-4052;Classic Blue TC;P;2
REST0221.2;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;19-4052;Classic Blue TC;G;1
REST0221.2;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;19-1664;True Red TC;P;2
REST0221.2;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;19-1664;True Red TC;PP;1
REST0228.1;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;12-0000;White Swan TC;G;1
REST0235.1;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;19-3940;Blue Depths TC;P;1
REST0235.1;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;14-1118;Beige TC;P;5
REST0235.1;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;14-1118;Beige TC;PP;3
REST0235.1;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;14-1118;Beige TC;M;1
REST0235.2;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;14-1118;Beige TC;M;2
REST0235.2;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;14-1118;Beige TC;P;1
REST0235.2;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;19-6050;Eden;M;1
REST0245.1;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;12-0000;White Swan TC;M;1
REST0245.1;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;12-0000;White Swan TC;GG;2
REST0245.2;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;12-0000;White Swan TC;M;2
REST0248.1;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;11-0602;Snow White TC;G;2
REST0257.1;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;19-0000;Raven TC;G;1
REST0257.1;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;11-0610;Silence;GG;1
REST0268;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;19-0000;Raven TC;P;1
REST0268;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Terceira Entrada;19-0000;Raven TC;M;1
REST0271;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;18-1664;Fiery Red TC;G;2
REST0271;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;18-1664;Fiery Red TC;P;1
REST0271;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;18-1664;Fiery Red TC;M;2
REST0271;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;18-1664;Fiery Red TC;GG;1
REST0308.1;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;18-3921;Bijou Blue TC;GG;1
REST0315;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;11-0601;Bright White TC;M;1
REST0321.2;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;ÚNICA;ÚNICA;PP;1
REST0337;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;18-0625;Martini Olive;P;1
REST0337;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;15-5205;Aqua Gray TC;GG;1
REST0339;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;18-1763;High Risk Red TC;M;2
REST0339;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;18-1763;High Risk Red TC;PP;1
REST0339;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;18-1763;High Risk Red TC;GG;1
REST0339;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;18-1763;High Risk Red TC;G;3
REST0346.1;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;17-1500;Steeple Gray TC;G;1
REST0346.2;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;18-1350;Burnt Brick TC;M;1
REST0347;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Terceira Entrada;SI23C001;JACQUARD ONÇA;GG;1
REST0351;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Terceira Entrada;14-1310;Cameo Rose TC;G;1
REST0356;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Terceira Entrada;17-1563;Cherry TC;M;5
REST0356;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Terceira Entrada;17-1563;Cherry TC;P;3
REST0356;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Terceira Entrada;17-1563;Cherry TC;G;2
REST0356;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Terceira Entrada;18-2328;Fuchsia Red TC;P;1
REST0356;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Terceira Entrada;17-1563;Cherry TC;GG;1
REST0359;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Terceira Entrada;18-1659;Goji Berry;GG;1
REST0359;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Terceira Entrada;18-1659;Goji Berry;M;2
REST0359;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Terceira Entrada;18-1659;Goji Berry;G;1
REST0360;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Segunda Entrada;11-0602;Snow White TC;40;2
REST0360;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Segunda Entrada;11-0602;Snow White TC;36;1
REST0360;PEÇAS BOAS;RITMI STUDIO;PL VERÃO 2024 Segunda Entrada;11-0602;Snow White TC;42;2
REST0361.1;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;19-0000;Raven TC;M;1
REST0361.2;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;19-0000;Raven TC;PP;1
REST0377.1;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;17-1134;Brown Sugar TC;P;1
REST0377.1;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;19-0000;Raven TC;PP;1
REST0377.1;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;17-1134;Brown Sugar TC;GG;1
REST0377.1;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;17-1134;Brown Sugar TC;M;1
REST0377.2;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;17-1134;Brown Sugar TC;GG;1
REST0381;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;15-0523;Winter Pear TC;GG;2
REST0382.2;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;18-4016;December Sky Color;GG;2
REST0382.2;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;18-4016;December Sky Color;G;1
REST0382.2;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;19-0000;Raven TC;P;2
REST0383;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;11-0601;Bright White TC;G;1
REST0386.2;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;19-4009;Outer Space;P;1
REST0386.2;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;19-0000;Raven TC;M;1
REST0386.2;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;16-3916;Sleet;GG;1
REST0387.1;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;17-1500;Steeple Gray TC;GG;1
REST0391;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;17-1328;Indian Tan TC;M;1
REST0391;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;17-1328;Indian Tan TC;P;1
REST0391;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;18-4016;December Sky Color;GG;1
REST0396;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;PADRAO;Padrão;G;1
REST0396;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;PADRAO;Padrão;P;1
REST0403.1;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;PADRAO;Padrão;M;2
REST0403.1;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;PADRAO;Padrão;GG;1
REST0403.1;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;PADRAO;Padrão;G;1
REST0403.1;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;PADRAO;Padrão;P;3
REST0403.1;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;PADRAO;Padrão;PP;4
REST0403.2;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Terceira Entrada;PADRAO;Padrão;PP;3
REST0403.2;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Terceira Entrada;PADRAO;Padrão;P;4
REST0403.2;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Terceira Entrada;PADRAO;Padrão;M;3
REST0405.1;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;16-1310;Natural TC;P;4
REST0405.1;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;16-1310;Natural TC;GG;2
REST0405.1;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;16-1310;Natural TC;PP;2
REST0405.1;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;16-1310;Natural TC;M;1
REST0405.1;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;16-1310;Natural TC;G;1
REST0405.2;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;16-3310;Grayish Lavender TC;P;4
REST0405.2;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;16-3310;Grayish Lavender TC;PP;2
REST0405.2;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;16-3310;Grayish Lavender TC;M;2
REST0415.1;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;19-0000;Raven TC;GG;1
REST0415.1;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;16-1327;Toasted Nut TC;G;1
REST0415.1;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;16-1327;Toasted Nut TC;GG;1
REST0422;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;PADRAO;Padrão;M;1
REST0424;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2024 Primeira Entrada;18-1662;Flame Scarlet TC;G;1
